onset	duration	nwb_table	crosstalk_dir	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_violation_history	HistorySection_hit_history_left	HistorySection_hit_history_right	HistorySection_side_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_hit_history_stage	state_type
1686.525006	0.4375	states																			"       state_name
id               
6   wait_for_cout"
1686.962506	0.24849999999992178	states																			"        state_name
id                
7   wait_for_spoke"
1687.211006	0.0005080000000816653	states																			"   state_name
id           
8   hit_state"
1687.211514	0.17449199999987286	states																			"    state_name
id            
9   hit_state2"
1687.386006	0.0035080000000107248	states																			"        state_name
id                
14  clean_up_state"
1687.389514	0.7174919999999929	states																			"                state_name
id                        
2   check_next_trial_ready"
1688.107509	4.5700010000000475	trials	0.0	5.0	2.0	1.0	1.0	0.15	-5.0	0.0	6500.0	14200.0	1.0	0.0	1.0		l	1.0	1.0	1.0	
1688.107509	4.5700010000000475	states																			"   state_name
id           
0     state_0"
1688.107509	0.016000000000076398	states																			"          state_name
id                  
1   sending_trialnum"
1688.123509	1.9905120000000807	states																			"        state_name
id                
3   wait_for_cpoke"
